row_pk,country,field,metric,current_value,current_source,current_confidence,proposed_source,verifiable,note
d3a99f25-6417-478c-85bb-9dc678b69696,AU,computer-science,roi,avg_annual_tuition_intl=42000; median_starting_salary=72000; payback_years=3.2,CRICOS — course tuition registry,estimate,CRICOS (tuition) + QILT (graduate salary),yes,tuition=annual intl; salary=median starting (local ccy); payback=yrs; align tuition vs salary source-years
aadd8293-3daa-4549-be40-72704151f9e0,AU,data-analytics,employment,80,QILT Graduate Outcomes Survey 2024 — full-time employment by study area,estimate,QILT Graduate Outcomes Survey,yes,"% full-time employment, recent grads; survey timepoint differs by country"
aadd8293-3daa-4549-be40-72704151f9e0,AU,data-analytics,visa,occupation_list_match=true; post_study_work_years=2; visa_pathway_score=85,Core Skills Occupation List (CSOL) — Dept of Home Affairs,estimate,Home Affairs Core Skills Occupation List (CSOL) + subclass 485,yes,post_study_work_years=bachelor-level; occupation_list_match needs per-occupation check vs current list
aadd8293-3daa-4549-be40-72704151f9e0,AU,data-analytics,demand,80,Jobs and Skills Australia — labour market outlook,estimate,Jobs and Skills Australia,hard,"0-100 composite index, NOT a single official statistic; document component inputs"
aadd8293-3daa-4549-be40-72704151f9e0,AU,data-analytics,ai_exposure,medium,OECD AI exposure / Felten occupational AI-exposure index,estimate,OECD AI exposure + Felten occupational AI-exposure index,hard,low/medium/high band; interpretive mapping of published exposure research to the major
aadd8293-3daa-4549-be40-72704151f9e0,AU,data-analytics,roi,avg_annual_tuition_intl=42000; median_starting_salary=75000; payback_years=3,CRICOS — course tuition registry,estimate,CRICOS (tuition) + QILT (graduate salary),yes,tuition=annual intl; salary=median starting (local ccy); payback=yrs; align tuition vs salary source-years
96a1b6e4-e3c5-412c-9b4f-a17a037cef09,AU,music,employment,65,QILT Graduate Outcomes Survey 2024 — full-time employment by study area,estimate,QILT Graduate Outcomes Survey,yes,"% full-time employment, recent grads; survey timepoint differs by country"
96a1b6e4-e3c5-412c-9b4f-a17a037cef09,AU,music,visa,occupation_list_match=false; post_study_work_years=2; visa_pathway_score=35,Core Skills Occupation List (CSOL) — Dept of Home Affairs,estimate,Home Affairs Core Skills Occupation List (CSOL) + subclass 485,yes,post_study_work_years=bachelor-level; occupation_list_match needs per-occupation check vs current list
96a1b6e4-e3c5-412c-9b4f-a17a037cef09,AU,music,demand,40,Jobs and Skills Australia — labour market outlook,estimate,Jobs and Skills Australia,hard,"0-100 composite index, NOT a single official statistic; document component inputs"
96a1b6e4-e3c5-412c-9b4f-a17a037cef09,AU,music,ai_exposure,medium,OECD AI exposure / Felten occupational AI-exposure index,estimate,OECD AI exposure + Felten occupational AI-exposure index,hard,low/medium/high band; interpretive mapping of published exposure research to the major
96a1b6e4-e3c5-412c-9b4f-a17a037cef09,AU,music,roi,avg_annual_tuition_intl=35000; median_starting_salary=50000; payback_years=6.5,CRICOS — course tuition registry,estimate,CRICOS (tuition) + QILT (graduate salary),yes,tuition=annual intl; salary=median starting (local ccy); payback=yrs; align tuition vs salary source-years
8fe68e01-2514-49ca-83f7-24ab4afba040,AU,nursing,employment,90,QILT Graduate Outcomes Survey 2024 — full-time employment by study area,estimate,QILT Graduate Outcomes Survey,yes,"% full-time employment, recent grads; survey timepoint differs by country"
8fe68e01-2514-49ca-83f7-24ab4afba040,AU,nursing,visa,occupation_list_match=true; post_study_work_years=2; visa_pathway_score=95,Core Skills Occupation List (CSOL) — Dept of Home Affairs,estimate,Home Affairs Core Skills Occupation List (CSOL) + subclass 485,yes,post_study_work_years=bachelor-level; occupation_list_match needs per-occupation check vs current list
8fe68e01-2514-49ca-83f7-24ab4afba040,AU,nursing,demand,90,Jobs and Skills Australia — labour market outlook,estimate,Jobs and Skills Australia,hard,"0-100 composite index, NOT a single official statistic; document component inputs"
8fe68e01-2514-49ca-83f7-24ab4afba040,AU,nursing,ai_exposure,low,OECD AI exposure / Felten occupational AI-exposure index,estimate,OECD AI exposure + Felten occupational AI-exposure index,hard,low/medium/high band; interpretive mapping of published exposure research to the major
8fe68e01-2514-49ca-83f7-24ab4afba040,AU,nursing,roi,avg_annual_tuition_intl=38000; median_starting_salary=70000; payback_years=2.9,CRICOS — course tuition registry,estimate,CRICOS (tuition) + QILT (graduate salary),yes,tuition=annual intl; salary=median starting (local ccy); payback=yrs; align tuition vs salary source-years
e00ccb2e-cd91-41a8-a8f7-439927b9da40,AU,psychology,employment,70,QILT Graduate Outcomes Survey 2024 — full-time employment by study area,estimate,QILT Graduate Outcomes Survey,yes,"% full-time employment, recent grads; survey timepoint differs by country"
e00ccb2e-cd91-41a8-a8f7-439927b9da40,AU,psychology,visa,occupation_list_match=false; post_study_work_years=2; visa_pathway_score=45,Core Skills Occupation List (CSOL) — Dept of Home Affairs,estimate,Home Affairs Core Skills Occupation List (CSOL) + subclass 485,yes,post_study_work_years=bachelor-level; occupation_list_match needs per-occupation check vs current list
e00ccb2e-cd91-41a8-a8f7-439927b9da40,AU,psychology,demand,55,Jobs and Skills Australia — labour market outlook,estimate,Jobs and Skills Australia,hard,"0-100 composite index, NOT a single official statistic; document component inputs"
e00ccb2e-cd91-41a8-a8f7-439927b9da40,AU,psychology,ai_exposure,low,OECD AI exposure / Felten occupational AI-exposure index,estimate,OECD AI exposure + Felten occupational AI-exposure index,hard,low/medium/high band; interpretive mapping of published exposure research to the major
e00ccb2e-cd91-41a8-a8f7-439927b9da40,AU,psychology,roi,avg_annual_tuition_intl=36000; median_starting_salary=58000; payback_years=5,CRICOS — course tuition registry,estimate,CRICOS (tuition) + QILT (graduate salary),yes,tuition=annual intl; salary=median starting (local ccy); payback=yrs; align tuition vs salary source-years
215341e7-7186-413e-a71f-6323c2b70024,AU,software-engineering,employment,82,QILT Graduate Outcomes Survey 2024 — full-time employment by study area,estimate,QILT Graduate Outcomes Survey,yes,"% full-time employment, recent grads; survey timepoint differs by country"
215341e7-7186-413e-a71f-6323c2b70024,AU,software-engineering,visa,occupation_list_match=true; post_study_work_years=2; visa_pathway_score=90,Core Skills Occupation List (CSOL) — Dept of Home Affairs,estimate,Home Affairs Core Skills Occupation List (CSOL) + subclass 485,yes,post_study_work_years=bachelor-level; occupation_list_match needs per-occupation check vs current list
215341e7-7186-413e-a71f-6323c2b70024,AU,software-engineering,demand,78,Jobs and Skills Australia — labour market outlook,estimate,Jobs and Skills Australia,hard,"0-100 composite index, NOT a single official statistic; document component inputs"
215341e7-7186-413e-a71f-6323c2b70024,AU,software-engineering,ai_exposure,medium,OECD AI exposure / Felten occupational AI-exposure index,estimate,OECD AI exposure + Felten occupational AI-exposure index,hard,low/medium/high band; interpretive mapping of published exposure research to the major
215341e7-7186-413e-a71f-6323c2b70024,AU,software-engineering,roi,avg_annual_tuition_intl=45000; median_starting_salary=76000; payback_years=3.1,CRICOS — course tuition registry,estimate,CRICOS (tuition) + QILT (graduate salary),yes,tuition=annual intl; salary=median starting (local ccy); payback=yrs; align tuition vs salary source-years
2b92f7e8-b540-4407-b37d-1df0c2c9cef6,AU,ux-design,employment,72,QILT Graduate Outcomes Survey 2024 — full-time employment by study area,estimate,QILT Graduate Outcomes Survey,yes,"% full-time employment, recent grads; survey timepoint differs by country"
2b92f7e8-b540-4407-b37d-1df0c2c9cef6,AU,ux-design,visa,occupation_list_match=false; post_study_work_years=2; visa_pathway_score=50,Core Skills Occupation List (CSOL) — Dept of Home Affairs,estimate,Home Affairs Core Skills Occupation List (CSOL) + subclass 485,yes,post_study_work_years=bachelor-level; occupation_list_match needs per-occupation check vs current list
2b92f7e8-b540-4407-b37d-1df0c2c9cef6,AU,ux-design,demand,62,Jobs and Skills Australia — labour market outlook,estimate,Jobs and Skills Australia,hard,"0-100 composite index, NOT a single official statistic; document component inputs"
2b92f7e8-b540-4407-b37d-1df0c2c9cef6,AU,ux-design,ai_exposure,medium,OECD AI exposure / Felten occupational AI-exposure index,estimate,OECD AI exposure + Felten occupational AI-exposure index,hard,low/medium/high band; interpretive mapping of published exposure research to the major
2b92f7e8-b540-4407-b37d-1df0c2c9cef6,AU,ux-design,roi,avg_annual_tuition_intl=38000; median_starting_salary=65000; payback_years=4.2,CRICOS — course tuition registry,estimate,CRICOS (tuition) + QILT (graduate salary),yes,tuition=annual intl; salary=median starting (local ccy); payback=yrs; align tuition vs salary source-years
8bfe2f9a-aeeb-4869-9c72-62ad1d978bb5,CA,accounting,employment,79,Statistics Canada — graduate employment & earnings,estimate,Statistics Canada (NGS) / Job Bank,hard,"% full-time employment, recent grads; survey timepoint differs by country"
8bfe2f9a-aeeb-4869-9c72-62ad1d978bb5,CA,accounting,visa,occupation_list_match=false; post_study_work_years=3; visa_pathway_score=65,IRCC — Post-Graduation Work Permit & Express Entry category-based selection,estimate,IRCC PGWP + Express Entry category-based draws,yes,post_study_work_years=bachelor-level; occupation_list_match needs per-occupation check vs current list
8bfe2f9a-aeeb-4869-9c72-62ad1d978bb5,CA,accounting,demand,68,Job Bank — labour market outlook by occupation,estimate,Job Bank outlook ratings,hard,"0-100 composite index, NOT a single official statistic; document component inputs"
8bfe2f9a-aeeb-4869-9c72-62ad1d978bb5,CA,accounting,ai_exposure,high,OECD AI exposure / Felten occupational AI-exposure index,estimate,OECD AI exposure + Felten occupational AI-exposure index,hard,low/medium/high band; interpretive mapping of published exposure research to the major
8bfe2f9a-aeeb-4869-9c72-62ad1d978bb5,CA,accounting,roi,avg_annual_tuition_intl=32000; median_starting_salary=56000; payback_years=6,Statistics Canada — graduate employment & earnings,estimate,Statistics Canada (tuition + graduate earnings),hard,tuition=annual intl; salary=median starting (local ccy); payback=yrs; align tuition vs salary source-years
8cbc7eb5-7bee-4021-9a20-95278d5e3ece,CA,business-management,employment,73,Statistics Canada — graduate employment & earnings,estimate,Statistics Canada (NGS) / Job Bank,hard,"% full-time employment, recent grads; survey timepoint differs by country"
8cbc7eb5-7bee-4021-9a20-95278d5e3ece,CA,business-management,visa,occupation_list_match=false; post_study_work_years=3; visa_pathway_score=65,IRCC — Post-Graduation Work Permit & Express Entry category-based selection,estimate,IRCC PGWP + Express Entry category-based draws,yes,post_study_work_years=bachelor-level; occupation_list_match needs per-occupation check vs current list
8cbc7eb5-7bee-4021-9a20-95278d5e3ece,CA,business-management,demand,64,Job Bank — labour market outlook by occupation,estimate,Job Bank outlook ratings,hard,"0-100 composite index, NOT a single official statistic; document component inputs"
8cbc7eb5-7bee-4021-9a20-95278d5e3ece,CA,business-management,ai_exposure,high,OECD AI exposure / Felten occupational AI-exposure index,estimate,OECD AI exposure + Felten occupational AI-exposure index,hard,low/medium/high band; interpretive mapping of published exposure research to the major
8cbc7eb5-7bee-4021-9a20-95278d5e3ece,CA,business-management,roi,avg_annual_tuition_intl=33000; median_starting_salary=55000; payback_years=6,Statistics Canada — graduate employment & earnings,estimate,Statistics Canada (tuition + graduate earnings),hard,tuition=annual intl; salary=median starting (local ccy); payback=yrs; align tuition vs salary source-years
980ea522-d697-410e-9fd7-33be12b662ec,CA,civil-engineering,employment,83,Statistics Canada — graduate employment & earnings,estimate,Statistics Canada (NGS) / Job Bank,hard,"% full-time employment, recent grads; survey timepoint differs by country"
980ea522-d697-410e-9fd7-33be12b662ec,CA,civil-engineering,visa,occupation_list_match=true; post_study_work_years=3; visa_pathway_score=85,IRCC — Post-Graduation Work Permit & Express Entry category-based selection,estimate,IRCC PGWP + Express Entry category-based draws,yes,post_study_work_years=bachelor-level; occupation_list_match needs per-occupation check vs current list
980ea522-d697-410e-9fd7-33be12b662ec,CA,civil-engineering,demand,75,Job Bank — labour market outlook by occupation,estimate,Job Bank outlook ratings,hard,"0-100 composite index, NOT a single official statistic; document component inputs"
980ea522-d697-410e-9fd7-33be12b662ec,CA,civil-engineering,ai_exposure,low,OECD AI exposure / Felten occupational AI-exposure index,estimate,OECD AI exposure + Felten occupational AI-exposure index,hard,low/medium/high band; interpretive mapping of published exposure research to the major
980ea522-d697-410e-9fd7-33be12b662ec,CA,civil-engineering,roi,avg_annual_tuition_intl=34000; median_starting_salary=66000; payback_years=5,Statistics Canada — graduate employment & earnings,estimate,Statistics Canada (tuition + graduate earnings),hard,tuition=annual intl; salary=median starting (local ccy); payback=yrs; align tuition vs salary source-years
097d6a14-d945-4aba-b1ce-01cf4ecca2e4,CA,computer-science,employment,84,Statistics Canada — graduate employment & earnings,estimate,Statistics Canada (NGS) / Job Bank,hard,"% full-time employment, recent grads; survey timepoint differs by country"
097d6a14-d945-4aba-b1ce-01cf4ecca2e4,CA,computer-science,visa,occupation_list_match=true; post_study_work_years=3; visa_pathway_score=88,IRCC — Post-Graduation Work Permit & Express Entry category-based selection,estimate,IRCC PGWP + Express Entry category-based draws,yes,post_study_work_years=bachelor-level; occupation_list_match needs per-occupation check vs current list
097d6a14-d945-4aba-b1ce-01cf4ecca2e4,CA,computer-science,demand,86,Job Bank — labour market outlook by occupation,estimate,Job Bank outlook ratings,hard,"0-100 composite index, NOT a single official statistic; document component inputs"
097d6a14-d945-4aba-b1ce-01cf4ecca2e4,CA,computer-science,ai_exposure,medium,OECD AI exposure / Felten occupational AI-exposure index,estimate,OECD AI exposure + Felten occupational AI-exposure index,hard,low/medium/high band; interpretive mapping of published exposure research to the major
097d6a14-d945-4aba-b1ce-01cf4ecca2e4,CA,computer-science,roi,avg_annual_tuition_intl=36000; median_starting_salary=70000; payback_years=5,Statistics Canada — graduate employment & earnings,estimate,Statistics Canada (tuition + graduate earnings),hard,tuition=annual intl; salary=median starting (local ccy); payback=yrs; align tuition vs salary source-years
d49935f3-2cd3-42a1-9f1a-120704906c7c,CA,data-analytics,employment,79,Statistics Canada — graduate employment & earnings,estimate,Statistics Canada (NGS) / Job Bank,hard,"% full-time employment, recent grads; survey timepoint differs by country"
d49935f3-2cd3-42a1-9f1a-120704906c7c,CA,data-analytics,visa,occupation_list_match=true; post_study_work_years=3; visa_pathway_score=86,IRCC — Post-Graduation Work Permit & Express Entry category-based selection,estimate,IRCC PGWP + Express Entry category-based draws,yes,post_study_work_years=bachelor-level; occupation_list_match needs per-occupation check vs current list
d49935f3-2cd3-42a1-9f1a-120704906c7c,CA,data-analytics,demand,80,Job Bank — labour market outlook by occupation,estimate,Job Bank outlook ratings,hard,"0-100 composite index, NOT a single official statistic; document component inputs"
d49935f3-2cd3-42a1-9f1a-120704906c7c,CA,data-analytics,ai_exposure,high,OECD AI exposure / Felten occupational AI-exposure index,estimate,OECD AI exposure + Felten occupational AI-exposure index,hard,low/medium/high band; interpretive mapping of published exposure research to the major
d49935f3-2cd3-42a1-9f1a-120704906c7c,CA,data-analytics,roi,avg_annual_tuition_intl=35000; median_starting_salary=65000; payback_years=5,Statistics Canada — graduate employment & earnings,estimate,Statistics Canada (tuition + graduate earnings),hard,tuition=annual intl; salary=median starting (local ccy); payback=yrs; align tuition vs salary source-years
8fd91149-1d5b-4036-aafc-beff6694bb52,CA,music,employment,59,Statistics Canada — graduate employment & earnings,estimate,Statistics Canada (NGS) / Job Bank,hard,"% full-time employment, recent grads; survey timepoint differs by country"
8fd91149-1d5b-4036-aafc-beff6694bb52,CA,music,visa,occupation_list_match=false; post_study_work_years=3; visa_pathway_score=58,IRCC — Post-Graduation Work Permit & Express Entry category-based selection,estimate,IRCC PGWP + Express Entry category-based draws,yes,post_study_work_years=bachelor-level; occupation_list_match needs per-occupation check vs current list
8fd91149-1d5b-4036-aafc-beff6694bb52,CA,music,demand,44,Job Bank — labour market outlook by occupation,estimate,Job Bank outlook ratings,hard,"0-100 composite index, NOT a single official statistic; document component inputs"
8fd91149-1d5b-4036-aafc-beff6694bb52,CA,music,ai_exposure,medium,OECD AI exposure / Felten occupational AI-exposure index,estimate,OECD AI exposure + Felten occupational AI-exposure index,hard,low/medium/high band; interpretive mapping of published exposure research to the major
8fd91149-1d5b-4036-aafc-beff6694bb52,CA,music,roi,avg_annual_tuition_intl=32000; median_starting_salary=42000; payback_years=8,Statistics Canada — graduate employment & earnings,estimate,Statistics Canada (tuition + graduate earnings),hard,tuition=annual intl; salary=median starting (local ccy); payback=yrs; align tuition vs salary source-years
30d7863d-5044-405c-a837-2ffa03207b15,CA,nursing,employment,93,Statistics Canada — graduate employment & earnings,estimate,Statistics Canada (NGS) / Job Bank,hard,"% full-time employment, recent grads; survey timepoint differs by country"
30d7863d-5044-405c-a837-2ffa03207b15,CA,nursing,visa,occupation_list_match=true; post_study_work_years=3; visa_pathway_score=90,IRCC — Post-Graduation Work Permit & Express Entry category-based selection,estimate,IRCC PGWP + Express Entry category-based draws,yes,post_study_work_years=bachelor-level; occupation_list_match needs per-occupation check vs current list
30d7863d-5044-405c-a837-2ffa03207b15,CA,nursing,demand,92,Job Bank — labour market outlook by occupation,estimate,Job Bank outlook ratings,hard,"0-100 composite index, NOT a single official statistic; document component inputs"
30d7863d-5044-405c-a837-2ffa03207b15,CA,nursing,ai_exposure,low,OECD AI exposure / Felten occupational AI-exposure index,estimate,OECD AI exposure + Felten occupational AI-exposure index,hard,low/medium/high band; interpretive mapping of published exposure research to the major
30d7863d-5044-405c-a837-2ffa03207b15,CA,nursing,roi,avg_annual_tuition_intl=32000; median_starting_salary=68000; payback_years=4,Statistics Canada — graduate employment & earnings,estimate,Statistics Canada (tuition + graduate earnings),hard,tuition=annual intl; salary=median starting (local ccy); payback=yrs; align tuition vs salary source-years
831373c3-a300-4a95-a46f-ade525ffea8a,CA,psychology,employment,67,Statistics Canada — graduate employment & earnings,estimate,Statistics Canada (NGS) / Job Bank,hard,"% full-time employment, recent grads; survey timepoint differs by country"
831373c3-a300-4a95-a46f-ade525ffea8a,CA,psychology,visa,occupation_list_match=false; post_study_work_years=3; visa_pathway_score=60,IRCC — Post-Graduation Work Permit & Express Entry category-based selection,estimate,IRCC PGWP + Express Entry category-based draws,yes,post_study_work_years=bachelor-level; occupation_list_match needs per-occupation check vs current list
831373c3-a300-4a95-a46f-ade525ffea8a,CA,psychology,demand,57,Job Bank — labour market outlook by occupation,estimate,Job Bank outlook ratings,hard,"0-100 composite index, NOT a single official statistic; document component inputs"
831373c3-a300-4a95-a46f-ade525ffea8a,CA,psychology,ai_exposure,low,OECD AI exposure / Felten occupational AI-exposure index,estimate,OECD AI exposure + Felten occupational AI-exposure index,hard,low/medium/high band; interpretive mapping of published exposure research to the major
831373c3-a300-4a95-a46f-ade525ffea8a,CA,psychology,roi,avg_annual_tuition_intl=31000; median_starting_salary=48000; payback_years=7,Statistics Canada — graduate employment & earnings,estimate,Statistics Canada (tuition + graduate earnings),hard,tuition=annual intl; salary=median starting (local ccy); payback=yrs; align tuition vs salary source-years
6062585d-cc3d-4ad5-9ab3-fd730558c736,CA,software-engineering,employment,85,Statistics Canada — graduate employment & earnings,estimate,Statistics Canada (NGS) / Job Bank,hard,"% full-time employment, recent grads; survey timepoint differs by country"
6062585d-cc3d-4ad5-9ab3-fd730558c736,CA,software-engineering,visa,occupation_list_match=true; post_study_work_years=3; visa_pathway_score=88,IRCC — Post-Graduation Work Permit & Express Entry category-based selection,estimate,IRCC PGWP + Express Entry category-based draws,yes,post_study_work_years=bachelor-level; occupation_list_match needs per-occupation check vs current list
6062585d-cc3d-4ad5-9ab3-fd730558c736,CA,software-engineering,demand,85,Job Bank — labour market outlook by occupation,estimate,Job Bank outlook ratings,hard,"0-100 composite index, NOT a single official statistic; document component inputs"
6062585d-cc3d-4ad5-9ab3-fd730558c736,CA,software-engineering,ai_exposure,medium,OECD AI exposure / Felten occupational AI-exposure index,estimate,OECD AI exposure + Felten occupational AI-exposure index,hard,low/medium/high band; interpretive mapping of published exposure research to the major
6062585d-cc3d-4ad5-9ab3-fd730558c736,CA,software-engineering,roi,avg_annual_tuition_intl=36000; median_starting_salary=72000; payback_years=5,Statistics Canada — graduate employment & earnings,estimate,Statistics Canada (tuition + graduate earnings),hard,tuition=annual intl; salary=median starting (local ccy); payback=yrs; align tuition vs salary source-years
58984228-a56b-4dc8-b8f4-0799451cb3b0,CA,ux-design,employment,71,Statistics Canada — graduate employment & earnings,estimate,Statistics Canada (NGS) / Job Bank,hard,"% full-time employment, recent grads; survey timepoint differs by country"
58984228-a56b-4dc8-b8f4-0799451cb3b0,CA,ux-design,visa,occupation_list_match=false; post_study_work_years=3; visa_pathway_score=63,IRCC — Post-Graduation Work Permit & Express Entry category-based selection,estimate,IRCC PGWP + Express Entry category-based draws,yes,post_study_work_years=bachelor-level; occupation_list_match needs per-occupation check vs current list
58984228-a56b-4dc8-b8f4-0799451cb3b0,CA,ux-design,demand,62,Job Bank — labour market outlook by occupation,estimate,Job Bank outlook ratings,hard,"0-100 composite index, NOT a single official statistic; document component inputs"
58984228-a56b-4dc8-b8f4-0799451cb3b0,CA,ux-design,ai_exposure,medium,OECD AI exposure / Felten occupational AI-exposure index,estimate,OECD AI exposure + Felten occupational AI-exposure index,hard,low/medium/high band; interpretive mapping of published exposure research to the major
58984228-a56b-4dc8-b8f4-0799451cb3b0,CA,ux-design,roi,avg_annual_tuition_intl=33000; median_starting_salary=60000; payback_years=6,Statistics Canada — graduate employment & earnings,estimate,Statistics Canada (tuition + graduate earnings),hard,tuition=annual intl; salary=median starting (local ccy); payback=yrs; align tuition vs salary source-years
60bb96bd-bf9a-437f-bbec-7b8641626b97,IE,accounting,employment,82,"HEA Graduate Outcomes Survey, Class of 2024",estimate,HEA Graduate Outcomes Survey,yes,"% full-time employment, recent grads; survey timepoint differs by country"
60bb96bd-bf9a-437f-bbec-7b8641626b97,IE,accounting,visa,occupation_list_match=true; post_study_work_years=1; visa_pathway_score=72,Critical Skills Occupations List — Dept of Enterprise,estimate,Dept of Enterprise Critical Skills Occupations List + Stamp 1G,yes,post_study_work_years=bachelor-level; occupation_list_match needs per-occupation check vs current list
60bb96bd-bf9a-437f-bbec-7b8641626b97,IE,accounting,demand,64,EGFSN — labour market and future skills forecasts,estimate,EGFSN / SOLAS skills forecasts,hard,"0-100 composite index, NOT a single official statistic; document component inputs"
60bb96bd-bf9a-437f-bbec-7b8641626b97,IE,accounting,ai_exposure,high,OECD AI exposure / Felten occupational AI-exposure index,estimate,OECD AI exposure + Felten occupational AI-exposure index,hard,low/medium/high band; interpretive mapping of published exposure research to the major
60bb96bd-bf9a-437f-bbec-7b8641626b97,IE,accounting,roi,avg_annual_tuition_intl=18000; median_starting_salary=34000; payback_years=3.8,CSO Ireland — graduate earnings,estimate,HEA/Qualifax (tuition) + CSO graduate earnings,yes,tuition=annual intl; salary=median starting (local ccy); payback=yrs; align tuition vs salary source-years
768b827f-9d57-4a5c-a8f2-2c3a06fbf104,IE,business-management,employment,78,"HEA Graduate Outcomes Survey, Class of 2024",estimate,HEA Graduate Outcomes Survey,yes,"% full-time employment, recent grads; survey timepoint differs by country"
